编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,该景观	形成受海水侵蚀的影响,None,,,5,,该 景观 形成 受 海水 侵蚀 的 影响,该 景观 形成 受 海水 侵蚀 的 影响,DT NN VV VV NN term DEG NN,,影响_0（海水侵蚀，该景观，形成）,影响_0（海水侵蚀，该景观，形成）,0_7,0_7,影响,影响,,,该 景观 形成 受 海水侵蚀 的 影响,该 景观 形成 受 海水侵蚀 的 影响,DT NN VV VV NN term DEG NN,( (IP (NP (DP (DT 该)) (NP (NN 景观))) (VP (VV 形成) (NP (DNP (NP (CP (IP (VP (VV 受) (NP (NN 海水))))) (NP (NN 侵蚀))) (DEG 的)) (NP (NN 影响))))) )
1-B,该景观	表现出石灰岩沉积特点,None,,,4 5,,该 景观 表现 出 石灰岩 沉积 特点,该 景观 表现 出 石灰岩 沉积 特点,DT NN VV VV term term NN,,实体信息陈述_0（该景观，表现出，石灰岩沉积特点）,实体信息陈述_0（该景观，表现出，石灰岩沉积特点）,,,实体信息陈述,实体信息陈述,,,该 景观表 现出 石灰岩 沉积 特点,该 景观表 现出 石灰岩 沉积 特点,DT NN VV term term NN,( (IP (NP (DP (DT 该)) (NP (NN 景观))) (VP (VRD (VV 表现) (VV 出)) (NP (NP (NN 石灰岩) (NN 沉积)) (NP (NN 特点))))) )
1-C,该景观	反映热带自然景观特征,None,,,3,,该 景观 反映 热带 自然 景观 特征,该 景观 反映 热带 自然 景观 特征,DT NN VV term NN NN NN,,实体信息陈述_0（该景观，反映，热带自然景观特征）,实体信息陈述_0（该景观，反映，热带自然景观特征）,,,实体信息陈述,实体信息陈述,,,该 景观 反映 热带 自然景观 特征,该 景观 反映 热带 自然景观 特征,DT NN VV term NN NN NN,( (IP (NP (DP (DT 该)) (NP (NN 景观))) (VP (VV 反映) (NP (NP (NN 热带)) (NP (NN 自然) (NN 景观)) (NP (NN 特征))))) )
1-D,该景观	在冬季观赏的效果最佳,None,3,,,,该 景观 在 冬季 观赏 的 效果 最 佳,该 景观 在 冬季 观赏 的 效果 最 佳,DT NN P time VV DEC NN AD VA,,时间限定_0（冬季）最值_1（该景观，观赏效果，佳，#）,时间限定_0（冬季）最值_1（该景观，观赏效果，佳，#）,1_7-8,1_7-8,时间限定 最值,时间限定 最值,3,,该 景观 在 冬季 观赏 的 效果 最 佳,该 景观 在 冬季 观赏 的 效果 最 佳,DT NN P time VV DEC NN AD VA,( (IP (NP (CP (IP (NP (DP (DT 该)) (NP (NN 景观))) (VP (PP (P 在) (NP (NT 冬季))) (VP (VV 观赏)))) (DEC 的)) (NP (NN 效果))) (VP (ADVP (AD 最)) (VP (VA 佳)))) )
2-A,该年发生地质地貌灾害次数最多的山地可能是	横断山和秦岭,None,,13 15,3 4,,该 年 发生 地质 地貌 灾害 次数 最 多 的 山地 可能 是 横断山 和 秦岭,该 年 发生 地质 地貌 灾害 次数 最 多 的 山地 可能 是 横断山 和 秦岭,DT M VV term term NN NN AD VA DEC NN VV VC loc CC loc,,最值_0（集合（横断山，秦岭），发生地质地貌灾害次数，多，#）,最值_0（集合（横断山，秦岭），发生地质地貌灾害次数，多，#）,0_7-8,0_7-8,最值,最值,,,该 年 发生 地质 地貌 灾害 次数 最 多 的 山地 可能 是 横断山 和 秦岭,该 年 发生 地质 地貌 灾害 次数 最 多 的 山地 可能 是 横断山 和 秦岭,DT M VV term term NN NN AD VA DEC NN VV VC loc CC loc,( (IP (NP (DP (DT 该) (CLP (M 年))) (CP (IP (NP (CP (IP (VP (VV 发生) (NP (NN 地质) (NN 地貌))))) (NP (NN 灾害) (NN 次数))) (VP (ADVP (AD 最)) (VP (VA 多)))) (DEC 的)) (NP (NN 山地))) (VP (VV 可能) (VP (VC 是) (NP (NR 横断山) (CC 和) (NR 秦岭))))) )
2-B,该年发生地质地貌灾害次数最多的山地可能是	太行山和雪峰山,None,,13 15,3 4,,该 年 发生 地质 地貌 灾害 次数 最 多 的 山地 可能 是 太行山 和 雪峰山,该 年 发生 地质 地貌 灾害 次数 最 多 的 山地 可能 是 太行山 和 雪峰山,DT M VV term term NN NN AD VA DEC NN VV VC loc CC loc,,最值_0（集合（太行山，雪峰山），发生地质地貌灾害次数，多，#）,最值_0（集合（太行山，雪峰山），发生地质地貌灾害次数，多，#）,0_7-8,0_7-8,最值,最值,,13,该 年 发生 地质 地貌 灾害 次数 最 多 的 山地 可能 是 太行山 和 雪峰山,该 年 发生 地质 地貌 灾害 次数 最 多 的 山地 可能 是 太行山 和 雪峰山,DT M VV term term NN NN AD VA DEC NN VV VC loc CC loc,( (IP (NP (DP (DT 该) (CLP (M 年))) (CP (IP (NP (CP (IP (VP (VV 发生) (NP (NN 地质) (NN 地貌))))) (NP (NN 灾害) (NN 次数))) (VP (ADVP (AD 最)) (VP (VA 多)))) (DEC 的)) (NP (NN 山地))) (VP (VV 可能) (VP (VC 是) (NP (NR 太行山) (CC 和) (NR 雪峰山))))) )
2-C,该年发生地质地貌灾害次数最多的山地可能是	大巴山和巫山,None,,13 15,3 4,,该 年 发生 地质 地貌 灾害 次数 最 多 的 山地 可能 是 大巴山 和 巫山,该 年 发生 地质 地貌 灾害 次数 最 多 的 山地 可能 是 大巴山 和 巫山,DT M VV term term NN NN AD VA DEC NN VV VC loc CC loc,,最值_0（集合（大巴山，巫山），发生地质地貌灾害次数，多，#）,最值_0（集合（大巴山，巫山），发生地质地貌灾害次数，多，#）,0_7-8,0_7-8,最值,最值,,,该 年 发生 地质 地貌 灾害 次数 最 多 的 山地 可能 是 大 巴山 和 巫山,该 年 发生 地质 地貌 灾害 次数 最 多 的 山地 可能 是 大巴山 和 巫山,DT M VV term term NN NN AD VA DEC NN VV VC loc CC loc,( (IP (NP (DP (DT 该) (CLP (M 年))) (CP (IP (NP (CP (IP (VP (VV 发生) (NP (NN 地质) (NN 地貌))))) (NP (NN 灾害) (NN 次数))) (VP (ADVP (AD 最)) (VP (VA 多)))) (DEC 的)) (NP (NN 山地))) (VP (VV 可能) (VP (VC 是) (NP (NR 大巴山) (CC 和) (NR 巫山))))) )
2-D,该年发生地质地貌灾害次数最多的山地可能是	祁连山和唐古拉山,None,,13 15,3 4,,该 年 发生 地质 地貌 灾害 次数 最 多 的 山地 可能 是 祁连山 和 唐古拉山,该 年 发生 地质 地貌 灾害 次数 最 多 的 山地 可能 是 祁连山 和 唐古拉山,DT M VV term term NN NN AD VA DEC NN VV VC loc CC loc,,最值_0（集合（祁连山，唐古拉山），发生地质地貌灾害次数，多，#）,最值_0（集合（祁连山，唐古拉山），发生地质地貌灾害次数，多，#）,0_7-8,0_7-8,最值,最值,,,该 年 发生 地质 地貌 灾害 次数 最 多 的 山地 可能 是 祁连山 和 唐古拉山,该 年 发生 地质 地貌 灾害 次数 最 多 的 山地 可能 是 祁连山 和 唐古拉 山,DT M VV term term NN NN AD VA DEC NN VV VC loc CC loc,( (IP (NP (DP (DT 该) (CLP (M 年))) (CP (IP (NP (CP (IP (VP (VV 发生) (NP (NN 地质) (NN 地貌))))) (NP (NN 灾害) (NN 次数))) (VP (ADVP (AD 最)) (VP (VA 多)))) (DEC 的)) (NP (NN 山地))) (VP (VV 可能) (VP (VC 是) (NP (NR 祁连山) (CC 和) (NR 唐古拉山))))) )
3-A,在图3所示的山区自然灾害链中，①②③④依次是	滑坡、泥石流、地震、崩塌,None,,,16 18 20 22,,在 图3 所示 的 山区 自然 灾害 链 中 ， ① ② ③ ④ 依次 是 滑坡 、 泥石流 、 地震 、 崩塌,在 图3 所示 的 山区 自然 灾害 链 中 ， ① ② ③ ④ 依次 是 滑坡 、 泥石流 、 地震 、 崩塌,P NN VV DEC NN NN NN NN LC PU NN NN NN NN AD VC term PU term PU term PU term,,匹配_0（①，滑坡）匹配_1（②，泥石流）匹配_2（③，地震）匹配_3（④，崩塌）,匹配_0（①，滑坡）匹配_1（②，泥石流）匹配_2（③，地震）匹配_3（④，崩塌）,0_14 1_14 2_14 3_14,0_14 1_14 2_14 3_14,匹配 匹配 匹配 匹配,匹配 匹配 匹配 匹配,,,在 图3 所示 的 山区 自然 灾害 链 中 ， ① ② ③ ④ 依次 是 滑坡 、 泥石流 、 地震 、 崩塌,在 图3 所示 的 山区 自然 灾害 链 中 ， ① ② ③ ④ 依次 是 滑坡 、 泥石流 、 地震 、 崩塌,P NN VV DEC NN NN NN NN LC PU NN AD VV NN AD VC term PU term PU term PU term,( (IP (PP (P 在) (LCP (NP (CP (IP (NP (NN 图3)) (VP (VV 所示))) (DEC 的)) (NP (NP (NN 山区)) (NP (NN 自然) (NN 灾害)) (NP (NN 链)))) (LC 中))) (PU ，) (NP (NP (NN ①) (NN ②)) (NP (NN ③) (NN ④))) (VP (ADVP (AD 依次)) (VP (VC 是) (NP (NN 滑坡) (PU 、) (NN 泥石流) (PU 、) (NN 地震) (PU 、) (NN 崩塌))))) )
3-B,在图3所示的山区自然灾害链中，①②③④依次是	泥石流、地震、崩塌、滑坡,None,,,16 18 20 22,,在 图3 所示 的 山区 自然 灾害 链 中 ， ① ② ③ ④ 依次 是 泥石流 、 地震 、 崩塌 、 滑坡,在 图3 所示 的 山区 自然 灾害 链 中 ， ① ② ③ ④ 依次 是 泥石流 、 地震 、 崩塌 、 滑坡,P NN VV DEC NN NN NN NN LC PU NN NN NN NN AD VC term PU term PU term PU term,,匹配_0（①，泥石流）匹配_1（②，地震）匹配_2（③，崩塌）匹配_3（④，滑坡）,匹配_0（①，泥石流）匹配_1（②，地震）匹配_2（③，崩塌）匹配_3（④，滑坡）,0_14 1_14 2_14 3_14,0_14 1_14 2_14 3_14,匹配 匹配 匹配 匹配,匹配 匹配 匹配 匹配,,,在 图3 所示 的 山区 自然 灾害 链 中 ， ① ② ③ ④ 依次 是 泥石流 、 地震 、 崩塌 、 滑坡,在 图3 所示 的 山区 自然 灾害 链 中 ， ① ② ③ ④ 依次 是 泥石流 、 地震 、 崩塌 、 滑坡,P NN VV DEC NN NN NN NN LC PU NN AD VV NN AD VC term PU term PU term PU term,( (IP (PP (P 在) (LCP (NP (CP (IP (NP (NN 图3)) (VP (VV 所示))) (DEC 的)) (NP (NP (NN 山区)) (NP (NN 自然) (NN 灾害)) (NP (NN 链)))) (LC 中))) (PU ，) (NP (NP (NN ①) (NN ②)) (NP (NN ③) (NN ④))) (VP (ADVP (AD 依次)) (VP (VC 是) (NP (NN 泥石流) (PU 、) (NN 地震) (PU 、) (NN 崩塌) (PU 、) (NN 滑坡))))) )
