编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,玻利维亚	东邻巴西，西临太平洋,y,,0 3 7,,,玻利维亚 东 邻 巴西 ， 西 临 太平洋,玻利维亚 东 邻 巴西 ， 西 临 太平洋,loc NN VV loc PU NN VV loc,,实体信息陈述_0（玻利维亚，东邻，巴西）实体信息陈述_1（玻利维亚，西临，太平洋）,实体信息陈述_0（玻利维亚，东邻，巴西）实体信息陈述_1（玻利维亚，西临，太平洋）,,,实体信息陈述 实体信息陈述,实体信息陈述 实体信息陈述,,0 2,玻利维亚东邻 巴西 ， 西临 太平洋,玻利维亚 东邻 巴西 ， 西临 太平洋,loc NR loc PU NR loc,( (IP (IP (NP (NP (NR 玻利维亚)) (NP (NN 东))) (VP (VV 邻) (NP (NR 巴西)))) (PU ，) (IP (NP (NN 西)) (VP (VV 临) (NP (NR 太平洋))))) )
1-A-0,玻利维亚	东邻巴西,ed-ori,,0 3,,,玻利维亚 东 邻 巴西,玻利维亚 东 邻 巴西,loc NN VV loc,,实体信息陈述_0（玻利维亚，东邻，巴西）,实体信息陈述_0（玻利维亚，东邻，巴西）,,,实体信息陈述,实体信息陈述,,0 2,玻利维亚东邻 巴西,玻利维亚 东邻 巴西,loc NR loc,( (IP (NP (NR 玻利维亚) (NN 东)) (VP (VV 邻) (NP (NR 巴西)))) )
1-A-1,玻利维亚	西临太平洋,ed-ori,,0 3,,,玻利维亚 西 临 太平洋,玻利维亚 西 临 太平洋,loc NN VV loc,,实体信息陈述_0（玻利维亚，西临，太平洋）,实体信息陈述_0（玻利维亚，西临，太平洋）,,,实体信息陈述,实体信息陈述,,0,玻利维亚 西临 太平洋,玻利维亚 西临 太平洋,loc NR loc,( (IP (NP (NR 玻利维亚)) (VP (NP (NN 西)) (VP (VV 临) (NP (NR 太平洋))))) )
1-B,玻利维亚	受寒流影响，多雾少雨,y,,0,2,,玻利维亚 受 寒流 影响 ， 多 雾 少 雨,玻利维亚 受 寒流 影响 ， 多 雾 少 雨,loc VV term NN PU JJ NN JJ NN,,影响_0（寒流，玻利维亚，多雾少雨）,影响_0（寒流，玻利维亚，多雾少雨）,0_1-3,0_1-3,影响,影响,,0,玻利维亚 受 寒流 影响 ， 多雾 少雨,玻利维亚 受 寒流 影响 ， 多雾 少雨,loc VV term NN PU AD VV,( (IP (NP (NR 玻利维亚)) (VP (VV 受) (NP (NP (NN 寒流) (NN 影响)) (PU ，) (NP (NP (ADJP (JJ 多)) (NP (NN 雾))) (ADJP (JJ 少)) (NP (NN 雨)))))) )
1-B-0,玻利维亚	受寒流影响,ed-ori,,0,2,,玻利维亚 受 寒流 影响,玻利维亚 受 寒流 影响,loc VV term NN,,影响_0（寒流，玻利维亚，#）,影响_0（寒流，玻利维亚，#）,0_1-3,0_1-3,影响,影响,,0,玻利维亚 受 寒流 影响,玻利维亚 受 寒流 影响,loc VV term NN,( (IP (NP (NR 玻利维亚)) (VP (VV 受) (NP (NN 寒流) (NN 影响)))) )
1-B-1,玻利维亚	多雾少雨,ed-ori,,0,,,玻利维亚 多 雾 少 雨,玻利维亚 多 雾 少 雨,loc JJ NN JJ NN,,实体信息陈述_0（玻利维亚，#，多雾少雨）,实体信息陈述_0（玻利维亚，#，多雾少雨）,,,实体信息陈述,实体信息陈述,,0,玻利维亚 多雾 少雨,玻利维亚 多雾 少雨,loc NR NN,( (NP (NP (NP (NR 玻利维亚)) (ADJP (JJ 多)) (NP (NN 雾))) (ADJP (JJ 少)) (NP (NN 雨))) )
1-C,玻利维亚	西南山地垂直带谱复杂,None,,0,2,,玻利维亚 西南 山地垂直带谱 复杂,玻利维亚 西南 山地 垂直 带谱 复杂,loc NN term VA,,实体信息陈述_0（玻利维亚西南山地，垂直带谱，复杂）,实体信息陈述_0（玻利维亚西南山地，垂直带谱，复杂）,,,实体信息陈述,实体信息陈述,,0,玻利维亚 西南山地垂直带谱 复杂,玻利维亚 西南 山地垂直带谱 复杂,loc NN term VA,( (IP (NP (NP (NR 玻利维亚)) (NP (NN 西南))) (NP (NN 山地垂直带谱)) (VP (VA 复杂))) )
1-D,玻利维亚	城市多分布于平原地区,None,,0,5,,玻利维亚 城市 多 分布 于 平原 地区,玻利维亚 城市 多 分布 于 平原 地区,NN NN AD VV P NN NN,,分布_0（玻利维亚城市，平原地区，多）,分布_0（玻利维亚城市，平原地区，多）,0_3,0_3,分布,分布,,0,玻利维亚 城市 多 分布 于 平原 地区,玻利维亚 城市 多 分布 于 平原 地区,NN NN AD VV P NN NN,( (IP (NP (NN 玻利维亚) (NN 城市)) (VP (ADVP (AD 多)) (VP (VV 分布) (PP (P 于) (NP (NP (NN 平原)) (NP (NN 地区))))))) )
2-A,卫星发射当日	玻利维亚在傍晚可收看卫星发射直播,None,2 5,3,,,卫星 发射 当日 玻利维亚 在 傍晚 可 收看 卫星 发射 直播,卫星 发射 当日 玻利维亚 在 傍晚 可 收看 卫星 发射 直播,NN VV time loc P time VV VV NN VV NN,,时间限定_0（卫星发射当日傍晚）实体信息陈述_1（玻利维亚，收看，卫星发射直播）,时间限定_0（卫星发射当日傍晚）实体信息陈述_1（玻利维亚，收看，卫星发射直播）,,,时间限定 实体信息陈述,时间限定 实体信息陈述,5,3,卫星 发射 当日 玻利维亚 在 傍晚 可 收看 卫星 发射 直播,卫星 发射 当日 玻利维亚 在 傍晚 可 收看 卫星 发射 直播,NN VV time loc P time VV VV NN VV NN,( (IP (IP (NP (NN 卫星)) (VP (VV 发射) (NP (IP (NP (NT 当日)) (NP (NR 玻利维亚)) (VP (PP (P 在) (NP (NT 傍晚))) (VP (VV 可) (VP (VV 收看))))) (NP (NN 卫星))))) (VP (VV 发射) (NP (NN 直播)))) )
2-B,卫星发射当日	赤道正午太阳高度角接近90°,None,2,,3 4,6,卫星 发射 当日 赤道 正午太阳高度角 接近 90°,卫星 发射 当日 赤道 正午 太阳 高度 角 接近 90°,NN VV time term term VV num,,时间限定_0（卫星发射当日）实体信息陈述_1（赤道，正午太阳高度角，接近90°）,时间限定_0（卫星发射当日）实体信息陈述_1（赤道，正午太阳高度角，接近90°）,,,时间限定 实体信息陈述,时间限定 实体信息陈述,,,卫星 发射 当日 赤道 正午太阳高度角 接近 90°,卫星 发射 当日 赤道 正午太阳高度角 接近 90°,NN VV time term term VV num,( (IP (IP (NP (NN 卫星)) (VP (VV 发射) (NP (NT 当日) (NN 赤道) (NN 正午太阳高度角)))) (VP (VV 接近) (QP (CD 90°)))) )
