编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,太白山	北麓为亚热带常绿阔叶林带,None,,0,2,,太白山北麓 为 亚热带常绿阔叶林 带,太白山 北麓 为 亚热带 常绿 阔叶林 带,loc P term NN,,实体信息陈述_0（太白山北麓，为，亚热带常绿阔叶林带）,实体信息陈述_0（太白山北麓，为，亚热带常绿阔叶林带）,0_1,0_1,实体信息陈述,实体信息陈述,,,太 白山 北麓 为 亚热带常绿阔叶林带,太白山 北麓 为 亚热带常绿阔叶林带,loc P term VV,( (IP (NP (NR 太白山北麓)) (VP (PP (P 为) (NP (NN 亚热带常绿阔叶林))) (VP (NP (NN 带))))) )
1-B,太白山	北坡山中腰降水量比山麓少,None,,0,,,太白山北坡 山 中腰 降水量 比 山麓 少,太白山 北坡 山 中腰 降水量 比 山麓 少,loc NN NN NN P NN VA,,比较_0（太白山北坡山中腰，太白山北坡山麓，降水量，少）,比较_0（太白山北坡山中腰，太白山北坡山麓，降水量，少）,0_4-6,0_4-6,比较,比较,,,太 白山 北坡 山中 腰 降水量 比 山麓 少,太白山 北坡 山中 腰 降水量 比 山麓 少,loc NN NN NN P NN VA,( (IP (NP (NP (NR 太白山北坡)) (NP (NN 山))) (NP (NN 中腰) (NN 降水量)) (VP (PP (P 比) (NP (NN 山麓))) (VP (VA 少)))) )
1-C,太白山	又密又高的树木在针叶林带,None,,0,8,,太白山 又 密 又 高 的 树木 在 针叶林带,太白山 又 密 又 高 的 树木 在 针叶林 带,loc AD VA AD VA DEC NN P term,,位于_0（太白山又密又高的树木，针叶林带）,位于_0（太白山又密又高的树木，针叶林带）,0_7,0_7,位于,位于,,,太 白山 又 密 又 高 的 树木 在 针叶林带,太白山 又 密 又 高 的 树木 在 针叶林带,loc AD VV AD VA DEC NN P term,( (IP (NP (NP (NR 太白山)) (CP (IP (VP (VP (ADVP (AD 又)) (VP (VA 密))) (VP (ADVP (AD 又)) (VP (VA 高))))) (DEC 的)) (NP (NN 树木))) (VP (PP (P 在) (NP (NN 针叶林带))))) )
1-D,太白山	树木大稀大矮处为稀树草原,None,,0,7,,太白山 树木 大稀 大矮 处 为 稀树 草原,太白山 树木 大稀 大矮 处 为 稀树 草原,loc NN VA VA NN VC NN term,,实体信息陈述_0（太白山树木大稀大矮处，为，稀树草原）,实体信息陈述_0（太白山树木大稀大矮处，为，稀树草原）,0_5,0_5,实体信息陈述,实体信息陈述,,6,太 白山 树木 大稀 大矮处 为 稀树 草原,太白山 树木 大稀 大矮处 为 稀树 草原,loc NN AD VV NN VC NN term,( (IP (NP (CP (IP (NP (NR 太白山) (NN 树木)) (VP (VCD (VA 大稀) (VA 大矮))))) (NP (NN 处))) (VP (VC 为) (NP (NN 稀树) (NN 草原)))) )
2-①,如果过度猎狼，将会	造成山区生物多样性减少,None,,,8,,如果 过度 猎狼 ， 将 会 造成 山区 生物多样性 减少,如果 过度 猎狼 ， 将 会 造成 山区 生物 多样性 减少,CS AD VV PU AD VV VV NN term VV,,因果_0（过度猎狼，山区生物多样性减少）,因果_0（过度猎狼，趋势_1（山区，生物多样性，#，减少））,0_0-4-5-6,0_0-4-5-6 1_9,因果,因果 趋势,,,如果 过度 猎狼 ， 将 会 造成 山区 生物多样性 减少,如果 过度 猎狼 ， 将 会 造成 山区 生物多样性 减少,CS AD VV PU AD VV VV NN term VV,( (IP (IP (VP (ADVP (CS 如果)) (ADVP (AD 过度)) (VP (VV 猎狼)))) (PU ，) (VP (ADVP (AD 将)) (VP (VV 会) (VP (VV 造成) (IP (NP (NN 山区) (NN 生物多样性)) (VP (VV 减少))))))) )
2-②,如果过度猎狼，将会	增加山区的环境承载力,None,,,9,,如果 过度 猎狼 ， 将 会 增加 山区 的 环境承载力,如果 过度 猎狼 ， 将 会 增加 山区 的 环境 承载力,CS AD VV PU AD VV VV NN DEG term,,因果_0（过度猎狼，增加山区的环境承载力）,因果_0（过度猎狼，趋势_1（山区，环境承载力，#，增加））,0_0-4-5-6,0_0-4-5-6 1_6,因果,因果 趋势,,,如果 过度 猎狼 ， 将 会 增加 山区 的 环境承载力,如果 过度 猎狼 ， 将 会 增加 山区 的 环境承载力,CS AD VV PU AD VV VV NN DEG term,( (IP (IP (VP (ADVP (CS 如果)) (ADVP (AD 过度)) (VP (VV 猎狼)))) (PU ，) (VP (ADVP (AD 将)) (VP (VV 会) (VP (VV 增加) (NP (DNP (NP (NN 山区)) (DEG 的)) (NP (NN 环境承载力))))))) )
2-③,如果过度猎狼，将会	导致不良消费观念的形成,None,,,,,如果 过度 猎狼 ， 将 会 导致 不良 消费 观念 的 形成,如果 过度 猎狼 ， 将 会 导致 不良 消费 观念 的 形成,CS AD VV PU AD VV VV JJ NN NN DEG NN,,因果_0（过度猎狼，导致不良消费观念的形成）,因果_0（过度猎狼，导致不良消费观念的形成）,0_0-4-5-6,0_0-4-5-6,因果,因果,,,如果 过度 猎狼 ， 将 会 导致 不良 消费 观念 的 形成,如果 过度 猎狼 ， 将 会 导致 不良 消费 观念 的 形成,CS AD VV PU AD VV VV JJ NN NN DEG NN,( (IP (IP (VP (ADVP (CS 如果)) (ADVP (AD 过度)) (VP (VV 猎狼)))) (PU ，) (VP (ADVP (AD 将)) (VP (VV 会) (VP (VV 导致) (NP (DNP (NP (ADJP (JJ 不良)) (NP (NN 消费) (NN 观念))) (DEG 的)) (NP (NN 形成))))))) )
2-④,如果过度猎狼，将会	破坏可持续发展的公平性,None,,,,,如果 过度 猎狼 ， 将 会 破坏 可持续 发展 的 公平性,如果 过度 猎狼 ， 将 会 破坏 可持续 发展 的 公平性,CS AD VV PU AD VV VV JJ NN DEG NN,,因果_0（过度猎狼，破坏可持续发展的公平性）,因果_0（过度猎狼，破坏可持续发展的公平性）,0_0-4-5-6,0_0-4-5-6,因果,因果,,,如果 过度 猎狼 ， 将 会 破坏 可持续 发展 的 公平 性,如果 过度 猎狼 ， 将 会 破坏 可持续 发展 的 公平 性,CS AD VV PU AD VV VV JJ NN DEG NN,( (IP (IP (VP (ADVP (CS 如果)) (ADVP (AD 过度)) (VP (VV 猎狼)))) (PU ，) (VP (ADVP (AD 将)) (VP (VV 会) (VP (VV 破坏) (NP (DNP (NP (ADJP (JJ 可持续)) (NP (NN 发展))) (DEG 的)) (NP (NN 公平性))))))) )
3-A,图中最有可能为博物馆、乡（镇）行政机构、集贸市场依次是	⑥①②,None,,,,,图 中 最 有 可能 为 博物馆 、 乡 （ 镇 ） 行政 机构 、 集贸 市场 依次 是 ⑥ ① ②,图 中 最 有 可能 为 博物馆 、 乡 （ 镇 ） 行政 机构 、 集贸 市场 依次 是 ⑥ ① ②,NN LC AD VE NN VV NN PU NN PU NN PU NN NN PU NN NN AD VC NN NN NN,,匹配_0（博物馆，⑥）匹配_1（乡镇行政机构，①）匹配_2（集贸市场，②）,匹配_0（博物馆，⑥）匹配_1（乡镇行政机构，①）匹配_2（集贸市场，②）,0_5-18 1_5-18 2_5-18,0_5-18 1_5-18 2_5-18,匹配 匹配 匹配,匹配 匹配 匹配,,,图 中 最 有 可能 为 博物馆 、 乡 （ 镇 ） 行政 机构 、 集贸 市场 依次 是 ⑥ ① ②,图 中 最 有 可能 为 博物馆 、 乡 （ 镇 ） 行政 机构 、 集贸 市场 依次 是 ⑥ ① ②,NN LC AD VE NN VV NN PU NN PU NN PU NN NN PU VV NN AD VC AD VV NN,( (IP (IP (LCP (NP (NN 图)) (LC 中)) (VP (ADVP (AD 最)) (VP (VP (VE 有) (NP (NN 可能))) (VP (VV 为) (NP (NN 博物馆)))))) (PU 、) (IP (NP (NN 乡) (PU （) (NN 镇) (PU ）) (NN 行政) (NN 机构) (PU 、) (NN 集贸) (NN 市场)) (VP (ADVP (AD 依次)) (VP (VC 是) (NP (NN ⑥) (NN ①) (NN ②)))))) )
3-B,图中最有可能为博物馆、乡（镇）行政机构、集贸市场依次是	⑤③⑥,None,,,,,图 中 最 有 可能 为 博物馆 、 乡 （ 镇 ） 行政 机构 、 集贸 市场 依次 是 ⑤ ③ ⑥,图 中 最 有 可能 为 博物馆 、 乡 （ 镇 ） 行政 机构 、 集贸 市场 依次 是 ⑤ ③ ⑥,NN LC AD VE NN VV NN PU NN PU NN PU NN NN PU NN NN AD VC NN NN NN,,匹配_0（博物馆，⑤）匹配_1（乡镇行政机构，③）匹配_2（集贸市场，⑥）,匹配_0（博物馆，⑤）匹配_1（乡镇行政机构，③）匹配_2（集贸市场，⑥）,0_5-18 1_5-18 2_5-18,0_5-18 1_5-18 2_5-18,匹配 匹配 匹配,匹配 匹配 匹配,,,图 中 最 有 可能 为 博物馆 、 乡 （ 镇 ） 行政 机构 、 集贸 市场 依次 是 ⑤ ③ ⑥,图 中 最 有 可能 为 博物馆 、 乡 （ 镇 ） 行政 机构 、 集贸 市场 依次 是 ⑤ ③ ⑥,NN LC AD VE NN VV NN PU NN PU NN PU NN NN PU VV NN AD VC AD VV NN,( (IP (IP (LCP (NP (NN 图)) (LC 中)) (VP (ADVP (AD 最)) (VP (VP (VE 有) (NP (NN 可能))) (VP (VV 为) (NP (NN 博物馆)))))) (PU 、) (IP (NP (NN 乡) (PU （) (NN 镇) (PU ）) (NN 行政) (NN 机构) (PU 、) (NN 集贸) (NN 市场)) (VP (ADVP (AD 依次)) (VP (VC 是) (NP (NN ⑤) (NN ③) (NN ⑥)))))) )
