编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,造成该沙尘天气的天气系统是	气旋、冷锋,None,,,8 10,,造成 该 沙尘 天气 的 天气 系统 是 气旋 、 冷锋,造成 该 沙尘 天气 的 天气 系统 是 气旋 、 冷锋,VV DT NN NN DEG NN NN VC term PU term,,因果_0（气旋，该沙尘天气）因果_1（冷锋，该沙尘天气）,因果_0（气旋，该沙尘天气）因果_1（冷锋，该沙尘天气）,0_0 1_0,0_0 1_0,因果,因果,,,造成 该 沙尘 天气 的 天气 系统 是 气旋 、 冷锋,造成 该 沙尘 天气 的 天气 系统 是 气旋 、 冷锋,VV DT NN NN DEG NN NN VC term PU term,( (IP (VP (VV 造成) (IP (NP (DNP (NP (NP (DP (DT 该)) (NP (NN 沙尘))) (NP (NN 天气))) (DEG 的)) (NP (NN 天气) (NN 系统))) (VP (VC 是) (NP (NN 气旋) (PU 、) (NN 冷锋)))))) )
1-B,造成该沙尘天气的天气系统是	气旋、暖锋,None,,,8 10,,造成 该 沙尘 天气 的 天气 系统 是 气旋 、 暖锋,造成 该 沙尘 天气 的 天气 系统 是 气旋 、 暖锋,VV DT NN NN DEG NN NN VC term PU term,,因果_0（气旋，该沙尘天气）因果_1（暖锋，该沙尘天气）,因果_0（气旋，该沙尘天气）因果_1（暖锋，该沙尘天气）,0_0 1_0,0_0 1_0,因果,因果,,,造成 该 沙尘 天气 的 天气 系统 是 气旋 、 暖锋,造成 该 沙尘 天气 的 天气 系统 是 气旋 、 暖锋,VV DT NN NN DEG NN NN VC term PU term,( (IP (VP (VV 造成) (IP (NP (DNP (NP (NP (DP (DT 该)) (NP (NN 沙尘))) (NP (NN 天气))) (DEG 的)) (NP (NN 天气) (NN 系统))) (VP (VC 是) (NP (NN 气旋) (PU 、) (NN 暖锋)))))) )
1-C,造成该沙尘天气的天气系统是	反气旋、暖锋,None,,,8 10,,造成 该 沙尘 天气 的 天气 系统 是 反气旋 、 暖锋,造成 该 沙尘 天气 的 天气 系统 是 反气旋 、 暖锋,VV DT NN NN DEG NN NN VC term PU term,,因果_0（反气旋，该沙尘天气）因果_1（暖锋，该沙尘天气）,因果_0（反气旋，该沙尘天气）因果_1（暖锋，该沙尘天气）,0_0 1_0,0_0 1_0,因果,因果,,,造成 该 沙尘 天气 的 天气 系统 是 反气旋 、 暖锋,造成 该 沙尘 天气 的 天气 系统 是 反气旋 、 暖锋,VV DT NN NN DEG NN NN VC term PU term,( (IP (VP (VV 造成) (IP (NP (DNP (NP (NP (DP (DT 该)) (NP (NN 沙尘))) (NP (NN 天气))) (DEG 的)) (NP (NN 天气) (NN 系统))) (VP (VC 是) (NP (NN 反气旋) (PU 、) (NN 暖锋)))))) )
1-D,造成该沙尘天气的天气系统是	反气旋、冷锋,None,,,8 10,,造成 该 沙尘 天气 的 天气 系统 是 反气旋 、 冷锋,造成 该 沙尘 天气 的 天气 系统 是 反气旋 、 冷锋,VV DT NN NN DEG NN NN VC term PU term,,因果_0（反气旋，该沙尘天气）因果_1（冷锋，该沙尘天气）,因果_0（反气旋，该沙尘天气）因果_1（冷锋，该沙尘天气）,0_0 1_0,0_0 1_0,因果,因果,,,造成 该 沙尘 天气 的 天气 系统 是 反气旋 、 冷锋,造成 该 沙尘 天气 的 天气 系统 是 反气旋 、 冷锋,VV DT NN NN DEG NN NN VC term PU term,( (IP (VP (VV 造成) (IP (NP (DNP (NP (NP (DP (DT 该)) (NP (NN 沙尘))) (NP (NN 天气))) (DEG 的)) (NP (NN 天气) (NN 系统))) (VP (VC 是) (NP (NN 反气旋) (PU 、) (NN 冷锋)))))) )
2-A,该沙尘天气先后经过呼和浩特、北京、石家庄，它们依次是图中的	①②③,None,,5 7 9,,,该 沙尘 天气 先后 经过 呼和浩特 、 北京 、 石家庄 ， 它们 依次 是 图 中 的 ① ② ③,该 沙尘 天气 先后 经过 呼和浩特 、 北京 、 石家庄 ， 它们 依次 是 图 中 的 ① ② ③,DT NN NN AD VV loc PU loc PU loc PU PN AD VC NN LC DEG NN NN NN,,匹配_0（呼和浩特，①）匹配_1（北京，②）匹配_2（石家庄，③）,匹配_0（呼和浩特，①）匹配_1（北京，②）匹配_2（石家庄，③）,0_13 1_13 2_13,0_13 1_13 2_13,匹配,匹配,,5 7 9,该 沙尘 天气 先后 经过 呼和浩特 、 北京 、 石家庄 ， 它们 依次 是 图 中 的 ① ② ③,该 沙尘 天气 先后 经过 呼和浩特 、 北京 、 石家庄 ， 它们 依次 是 图 中 的 ① ② ③,DT NN NN AD P loc PU loc PU loc PU PN AD VC NN LC DEG NN NN NN,( (IP (IP (NP (DP (DT 该)) (NP (NN 沙尘))) (NP (NN 天气)) (VP (ADVP (AD 先后)) (VP (VV 经过) (NP (NR 呼和浩特) (PU 、) (NR 北京) (PU 、) (NR 石家庄))))) (PU ，) (IP (NP (PN 它们)) (VP (ADVP (AD 依次)) (VP (VC 是) (NP (DNP (LCP (NP (NN 图)) (LC 中)) (DEG 的)) (NP (NN ①) (NN ②)) (NP (NN ③))))))) )
2-B,该沙尘天气先后经过呼和浩特、北京、石家庄，它们依次是图中的	②①③,None,,5 7 9,,,该 沙尘 天气 先后 经过 呼和浩特 、 北京 、 石家庄 ， 它们 依次 是 图 中 的 ② ① ③,该 沙尘 天气 先后 经过 呼和浩特 、 北京 、 石家庄 ， 它们 依次 是 图 中 的 ② ① ③,DT NN NN AD VV loc PU loc PU loc PU PN AD VC NN LC DEG NN NN NN,,匹配_0（呼和浩特，②）匹配_1（北京，①）匹配_2（石家庄，③）,匹配_0（呼和浩特，②）匹配_1（北京，①）匹配_2（石家庄，③）,0_13 1_13 2_13,0_13 1_13 2_13,匹配,匹配,,5 7 9,该 沙尘 天气 先后 经过 呼和浩特 、 北京 、 石家庄 ， 它们 依次 是 图 中 的 ② ① ③,该 沙尘 天气 先后 经过 呼和浩特 、 北京 、 石家庄 ， 它们 依次 是 图 中 的 ② ① ③,DT NN NN AD P loc PU loc PU loc PU PN AD VC NN LC DEG NN NN NN,( (IP (IP (NP (DP (DT 该)) (NP (NN 沙尘))) (NP (NN 天气)) (VP (ADVP (AD 先后)) (VP (VV 经过) (NP (NR 呼和浩特) (PU 、) (NR 北京) (PU 、) (NR 石家庄))))) (PU ，) (IP (NP (PN 它们)) (VP (ADVP (AD 依次)) (VP (VC 是) (NP (DNP (LCP (NP (NN 图)) (LC 中)) (DEG 的)) (NP (NN ②) (NN ①)) (NP (NN ③))))))) )
2-C,该沙尘天气先后经过呼和浩特、北京、石家庄，它们依次是图中的	③②①,None,,5 7 9,,,该 沙尘 天气 先后 经过 呼和浩特 、 北京 、 石家庄 ， 它们 依次 是 图 中 的 ③ ② ①,该 沙尘 天气 先后 经过 呼和浩特 、 北京 、 石家庄 ， 它们 依次 是 图 中 的 ③ ② ①,DT NN NN AD VV loc PU loc PU loc PU PN AD VC NN LC DEG NN NN NN,,匹配_0（呼和浩特，③）匹配_1（北京，②）匹配_2（石家庄，①）,匹配_0（呼和浩特，③）匹配_1（北京，②）匹配_2（石家庄，①）,0_13 1_13 2_13,0_13 1_13 2_13,匹配,匹配,,5 7 9,该 沙尘 天气 先后 经过 呼和浩特 、 北京 、 石家庄 ， 它们 依次 是 图 中 的 ③ ② ①,该 沙尘 天气 先后 经过 呼和浩特 、 北京 、 石家庄 ， 它们 依次 是 图 中 的 ③ ② ①,DT NN NN AD P loc PU loc PU loc PU PN AD VC NN LC DEG NN NN NN,( (IP (IP (NP (DP (DT 该)) (NP (NN 沙尘))) (NP (NN 天气)) (VP (ADVP (AD 先后)) (VP (VV 经过) (NP (NR 呼和浩特) (PU 、) (NR 北京) (PU 、) (NR 石家庄))))) (PU ，) (IP (NP (PN 它们)) (VP (ADVP (AD 依次)) (VP (VC 是) (NP (DNP (LCP (NP (NN 图)) (LC 中)) (DEG 的)) (NP (NN ③) (NN ②)) (NP (NN ①))))))) )
2-D,该沙尘天气先后经过呼和浩特、北京、石家庄，它们依次是图中的	②③①,None,,5 7 9,,,该 沙尘 天气 先后 经过 呼和浩特 、 北京 、 石家庄 ， 它们 依次 是 图 中 的 ② ③ ①,该 沙尘 天气 先后 经过 呼和浩特 、 北京 、 石家庄 ， 它们 依次 是 图 中 的 ② ③ ①,DT NN NN AD VV loc PU loc PU loc PU PN AD VC NN LC DEG NN NN NN,,匹配_0（呼和浩特，②）匹配_1（北京，③）匹配_2（石家庄，①）,匹配_0（呼和浩特，②）匹配_1（北京，③）匹配_2（石家庄，①）,0_13 1_13 2_13,0_13 1_13 2_13,匹配,匹配,,5 7 9,该 沙尘 天气 先后 经过 呼和浩特 、 北京 、 石家庄 ， 它们 依次 是 图 中 的 ② ③ ①,该 沙尘 天气 先后 经过 呼和浩特 、 北京 、 石家庄 ， 它们 依次 是 图 中 的 ② ③ ①,DT NN NN AD P loc PU loc PU loc PU PN AD VC NN LC DEG NN NN NN,( (IP (IP (NP (DP (DT 该)) (NP (NN 沙尘))) (NP (NN 天气)) (VP (ADVP (AD 先后)) (VP (VV 经过) (NP (NR 呼和浩特) (PU 、) (NR 北京) (PU 、) (NR 石家庄))))) (PU ，) (IP (NP (PN 它们)) (VP (ADVP (AD 依次)) (VP (VC 是) (NP (DNP (LCP (NP (NN 图)) (LC 中)) (DEG 的)) (NP (NN ②) (NN ③)) (NP (NN ①))))))) )
3-A,登顶队员在北京时间13时前撤离，主要是为了避开	大量冰雪融化,None,4,,3,,登顶 队员 在 北京时间 13时 前 撤离 ， 主要 是 为了 避开 大量 冰雪 融化,登顶 队员 在 北京 时间 13时 前 撤离 ， 主要 是 为了 避开 大量 冰雪 融化,NN NN P term time LC VV PU AD VC P VV CD NN VV,,因果_0（避开大量冰雪融化，登顶队员在北京时间13时前撤离）,因果_0（避开大量冰雪融化，登顶队员在北京时间13时前撤离）,0_10,0_10,因果,因果,4,,登顶 队员 在 北京时间 13时 前 撤离 ， 主要 是 为了 避开 大量 冰雪 融化,登顶 队员 在 北京时间 13时 前 撤离 ， 主要 是 为了 避开 大量 冰雪 融化,NN NN P term time LC VV PU AD VC P VV CD NN VV,( (IP (NP (NN 登顶) (NN 队员)) (VP (VP (PP (P 在) (LCP (NP (NN 北京时间) (NT 13时)) (LC 前))) (VP (VV 撤离))) (PU ，) (VP (ADVP (AD 主要)) (VP (VC 是) (PP (P 为了) (IP (VP (VV 避开) (NP (QP (CD 大量)) (NP (NN 冰雪))) (IP (VP (VV 融化)))))))))) )
3-B,登顶队员在北京时间13时前撤离，主要是为了避开	泥石流爆发,None,4,,3 12,,登顶 队员 在 北京时间 13时 前 撤离 ， 主要 是 为了 避开 泥石流 爆发,登顶 队员 在 北京 时间 13时 前 撤离 ， 主要 是 为了 避开 泥石流 爆发,NN NN P term time LC VV PU AD VC P VV term VV,,因果_0（避开泥石流爆发，登顶队员在北京时间13时前撤离）,因果_0（避开泥石流爆发，登顶队员在北京时间13时前撤离）,0_10,0_10,因果,因果,4,,登顶 队员 在 北京时间 13时 前 撤离 ， 主要 是 为了 避开 泥石流 爆发,登顶 队员 在 北京时间 13时 前 撤离 ， 主要 是 为了 避开 泥石流 爆发,NN NN P term time LC VV PU AD VC P VV term VV,( (IP (NP (NN 登顶) (NN 队员)) (VP (VP (PP (P 在) (LCP (NP (NN 北京时间) (NT 13时)) (LC 前))) (VP (VV 撤离))) (PU ，) (VP (ADVP (AD 主要)) (VP (VC 是) (PP (P 为了) (IP (VP (VV 避开) (IP (NP (NN 泥石流)) (VP (VV 爆发)))))))))) )
